,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Ruth B.,0.056104251984030025,-0.6422316612439736,-0.1755862135244875,-0.05846194848731752,0.7944328822139427,-0.08525871361479878,-0.10168292699932001,-0.16403730950097797,0.013000620011348626,0.09630055541454427
Skinny Living,-0.13514701963346737,-0.19565351006751763,0.010927626762166725,-0.05748155633045478,0.5459419365398984,-0.08525585647194163,-0.0970644531037377,-0.14486475652418684,0.05016650708117824,-0.09939435126302137
Sleeping At Last,-0.24094559542187027,-0.4506981428782595,-0.0686775950386421,-0.0675033428228295,0.7833664838236006,-0.08525447820232393,-0.08250622017201079,-0.21449139628200722,0.0420642685245461,0.03348939953980458
James TW,-0.050711617802338224,-0.03612559268197511,0.009942776689874543,-0.06243798334570532,0.06656567899462688,-0.08525481019427564,-0.09078935270213126,0.05644704973211989,0.06894574196256817,0.004645079655022266
Michael Schulte,-0.12599137365177868,-0.35168081484585384,-0.0067996745390926094,-0.07905018378143516,0.7340707091757134,-0.08525871361479878,-0.0970644531037377,-0.2235731319025925,-0.026896640262623964,-0.0020568140410910834
MAJOR.,-0.29689676530996795,-0.48470409391969177,-0.07603253919554759,-0.08046630578579246,0.5107306689342647,-0.08525871361479878,-0.06844999527241238,-0.30329058901661876,-0.16925798339660328,0.019671062022045094
Ben Platt,-0.1280259616477095,-0.3916878160710683,-0.03186096574040017,-0.08013950840017155,0.6797447534413069,-0.08525871361479878,-0.08652228442903889,-0.0722108715595047,0.07895033601535797,0.006150499946569726
"""Dear Evan Hansen"" August 2018 Broadway Cast",-0.25315312339745516,-0.12864178301528353,0.026391868322839785,-0.07284103345463779,0.44332624237490853,-0.08525871361479878,-0.028289352702131256,-0.34567202191268326,-0.11169450193987088,0.15751189812877717
Rebecca Black,-0.0812304377413006,-0.5727194966151635,-0.12294912029899874,-0.08515040164635893,0.536887610584164,-0.08525646009367202,0.08315643043039889,-0.3850262096018861,-0.15407255072035872,-0.051874840159695235
Noah Guthrie,-0.22365159745645824,-0.5057077695629294,-0.17889698610793783,0.14807399922510076,0.5358815743668602,-0.08525871361479878,0.18054598866333058,-0.10752873230622516,0.3491182277627686,0.12344677678041881
Seramic,-0.1524410175988794,-0.4316948172962827,-0.013672670788280638,-0.074583952844616,0.6213946528376852,-0.08525871361479878,-0.03632148121618749,-0.27705446389048355,0.028766573903764286,-0.030065221818284988
JONES,0.08662307192299241,-0.5007068944097774,-0.0014144305267715133,-0.08068417070953975,0.7129439486123331,-0.08525871361479878,-0.08351023623626781,-0.32347222372903045,-0.003546322855340328,-0.038414611670565015
Eryn Allen Kane,-0.20788354048799437,-0.22115797334859177,0.009408443140013888,-0.061620989881653036,0.6319580331193753,-0.08525439268924545,-0.08456445310373768,-0.29471339426384374,-0.15617537397461861,0.0822593728762519
Save the Arcadian,-0.2643433573750747,-0.5077081196241902,-0.11102614814720613,-0.0816645628664025,0.7511733248698784,-0.08477682226671025,-0.08250622017201079,-0.3073269159591011,0.09932704834412505,-0.14326854600426814
Keaton Henson,-0.2704471213628672,-0.38468659085665574,-0.03854537367787265,-0.07905018378143516,0.6002678922743049,0.49421814755220317,-0.08150220410775375,-0.407226007785539,-0.10541317885266739,0.004437804592255874
Hayley Gene Penner,0.15274718179074426,-0.20265473528193015,-0.020587575551183224,-0.051817068313025585,0.3628433449906027,-0.08525871361479878,-0.0654379470796413,0.03475179241627738,0.02181284854459286,-0.01166347798301514
NSTASIA,0.16190282777243287,-0.21765736074138556,0.005689062547846586,-0.006610096635465667,0.3568071276867798,-0.08525276794075451,-0.06142188282261318,0.06300608101365368,-0.007822968361521422,-0.07169539639643645
JSPH,0.07339824994944204,-0.3346778393251377,-0.07089874626551383,0.3550456767850136,0.2481552162179669,-0.08525871361479878,-0.08953433262180997,-0.1569737373516339,-0.1288512009041208,-0.019160412647579863
FARR,-0.06597102777181942,-0.26266523711975176,-0.012624957945416614,0.11757290990048203,0.4211934455942244,-0.08148607779990943,-0.08351023623626781,-0.2911816081891717,0.10851515392381106,-0.022239371795903174
Kevin Garrett,-0.015106327873548767,-0.22165806086390702,-0.051830372525388524,-0.06445323389036764,0.19483529670086427,-0.08484523272948691,-0.07949417197923969,-0.3507174305907862,-0.01618832085066275,0.08207934523957687
Sye Elaine Spence,-0.10971466968433205,-0.5727194966151635,-0.16458522867441522,-0.064344301428494,0.7773302665197777,-0.08493074580795773,0.015887354125177965,-0.3184268150509275,-0.09188995800402054,-0.0036585734463186964
CLAY,-0.0334176198369262,-0.5477151208494044,-0.13889530976738926,0.023890992689153064,0.5278332846284296,-0.08525460898703217,0.06508414127377236,-0.17513720859280438,0.1794723874687493,-0.046320257726500086
Grace Carter,-0.14226807761922527,-0.5767201967376849,-0.09371793198309238,-0.06881053236531318,0.634473123662635,-0.08525871361479878,-0.07849015591498266,-0.3497083488551656,0.19454088061943411,-0.007691192507839492
Phoria,-0.11683572767008994,-0.4767026936746489,-0.12837627282503442,-0.0816645628664025,0.7089198037431178,-0.08466817035524143,0.15644960312116188,-0.23265486752317774,0.03336897951686153,0.19361473769982482
AVEC,-0.1290432556456749,-0.4406963925719559,-0.07372757094124671,-0.0737124931496269,0.48054958241515,-0.08515207377576457,-0.10238573824429993,-0.3930988634868508,0.00186630661342014,0.05967806850304001
George Ogilvie,-0.2134786574768041,-0.4767026936746489,-0.04334389849818991,-0.0791591162433088,0.5499660814091137,-0.0824719932928672,-0.08652228442903889,-0.43638846994497393,-0.026700348916148867,0.19501408765408806
Louis Baker,0.1349445368263495,-0.40318982892331734,-0.04706327909035722,-0.06842926874875543,0.4911129626968402,-0.08525787860473841,-0.07849015591498266,0.07208781663423898,-0.083468223957913,-0.024829823519302876
Alex Isley,0.14460882980702094,-0.2696664623341643,-0.03175619445611375,-0.02578220992522602,-0.022468526236761467,0.09783987793449699,-0.1040925655535369,0.16088700936885053,0.03800897283460288,-0.004621964583120238
Quinn Lewis,-0.1361643136314328,-0.13264248313780497,-0.019456045680890068,-0.06717654543720859,0.03688761058416408,-0.08525871361479878,-0.08150220410775375,-0.12468312181177513,-0.1383567137674686,-0.1043903614613437
Marco McKinnis,-0.1361643136314328,-0.22165806086390702,-0.039090184356161975,-0.002252798160520145,0.27431215786786634,-0.08525871361479878,-0.08150220410775375,-0.3870443730731273,0.0780148198108809,-0.07862792009196592
SKAAR,-0.07410937975554271,-0.5857217720133582,-0.07536200297611462,-0.06314604434788397,0.5499660814091137,-0.08525871361479878,-0.07447409165795454,-0.15798281908725448,0.06806660731505729,-0.04774685510685469
William Singe,0.10798624588026609,-0.27966821264046793,-0.05924817945286587,0.043498835826407956,0.463446966720985,-0.08525871361479878,-0.08250622017201079,0.07410598010548013,0.029058922717663357,-0.11103289469347231
Kirk Franklin,-0.008239593387282257,0.09764781766483555,0.019398385096722398,-0.014725565045051726,0.05072060857209165,-0.08488261703532192,0.08830201275971614,0.1381826703173873,-0.004371164151698487,0.18597037499765867
Deitrick Haddon,0.03338468602946919,0.04412178394226743,0.016301695170830625,-0.04476550694773873,-0.12773881463381043,-0.08516726894679075,0.0320587062001445,0.11480561010884378,0.010074347597939567,0.05149540694850948
Fred Hammond,-0.2865542763306529,-0.024456883991287617,0.021031070943518842,-0.03244524550983023,0.280088482482219,-0.0852577796778437,0.225007166708846,-0.19683246590864698,0.05452389654548384,0.27993977354316507
Jessica Reedy,-0.10768008168840126,-0.24799600333717312,-0.04846372192365212,-0.030720481530164292,0.2924208097793351,-0.08525287860473842,0.003839161354093642,-0.11876317562946771,-0.1245996138677025,0.044608295629798934
Mary Mary,-0.00452647029470849,-0.007520586805946863,0.01948115441130866,0.012202539530111666,-0.062487640924890245,-0.08391860798099596,-0.031291360734259775,0.07279417384917339,0.018875160606069637,0.006145245085823535
James Fortune,-0.3406404072224806,0.04538867231439921,0.0418980183972274,0.0282482911640986,0.4242115542461359,-0.08525871361479878,0.15343755492839087,-0.12569220354739571,0.17315347667690162,0.1777567357146552
Erica Campbell,-0.00595068189186005,-0.1266414329540228,-0.015411874107434928,0.043498835826407956,-0.1736053471623148,-0.08516293896691145,-0.09656244507160917,-0.16605547297221915,0.12910486324556184,-0.0722617536101925
"Earth, Wind and Fire",-0.05528944079318253,-0.11463933258645848,-0.13469398126750448,-0.05938787441324345,0.17577091038295686,-0.08065609792063379,0.15845763524967596,0.07461052097329049,-0.10504356642366641,0.028843713391228258
YAnna Crawley,-0.26027418138321307,-0.0026197291558581245,0.01870165605621782,0.007551123408107314,-0.17123110168947778,-0.08525871361479878,0.04500381998863178,-0.05707464552519591,-0.13448935660074626,-0.0018096409615480614
Charles Jenkins and Fellowship Chicago,-0.11174925768026288,0.19741527697021402,0.0345640284971792,0.033694914257780526,-0.14983271134742543,-0.08525871361479878,0.301027916374174,-0.17816445379966614,0.02956844493617321,0.21060934660194816
Empire Cast,-0.25722229938931684,0.24042280328731944,0.07276363874800167,0.2504705133863208,-0.16321299303756628,-0.08525871361479878,-0.046361641858757775,0.010533830761383312,0.3322079370845194,-0.10968998583611259
Angie Stone,0.07583975554455905,-0.10043684715150732,-0.0034574705703563683,-0.009050183781435177,0.09608278161032104,-0.0851579761902515,0.0015801252095153165,0.16310698918721575,-0.06796621928033195,0.053660474450763884
Coko,-0.11327519867721103,-0.04912786808016986,0.025501312406405352,0.1109280297261901,-0.0961103773434013,-0.08525871361479878,-0.06704437278245255,-0.040929337755266595,-0.14005442509389696,0.21333506233344424
